     total/s   per.CPU/s    Acc
      52.684      13.206  399.0
    2143.446     535.964  399.9
    2152.652     538.241  399.9
    2149.935     537.573  399.9
    2150.664     537.740  399.9
    7314.851     914.356  800.0
    2152.088     538.100  399.9
    2150.658     537.758  399.9
    2153.616     538.479  399.9
    7360.435     920.054  800.0
    2145.744     536.516  399.9
    2151.971     538.096  399.9
    7271.377     908.922  800.0
    2152.956     538.328  399.9
    2152.827     538.337  399.9
    7315.150     914.394  800.0
    2151.967     538.099  399.9
    7291.725     911.466  800.0
    2150.037     537.596  399.9
    7279.147     909.893  800.0
    2154.952     538.840  399.9
    7302.911     912.864  800.0
    2153.485     538.442  399.9
    7280.896     910.112  800.0
    1791.612     448.026  399.9
    7292.652     911.581  800.0
    7275.775     909.472  800.0
    2150.740     537.763  399.9
    9484.052    1185.507  800.0
    2150.513     537.725  399.9
    1790.974     447.854  399.9
    2150.140     537.642  399.9
    7412.989     926.624  800.0
    2154.209     538.637  399.9
    7569.327     946.166  800.0
    1789.522     447.520  399.9
    2150.355     537.690  399.9
    7329.197     916.150  800.0
    7323.679     915.460  800.0
    2151.320     537.929  399.9
    2151.884     538.093  399.9
    7304.541     913.068  800.0
    2137.368     534.464  399.9
    1790.044     447.633  399.9
    2153.402     538.547  399.9
    7271.625     908.953  800.0
    7251.790     906.474  800.0
    2154.414     538.726  399.9
    7246.357     905.795  800.0
    2153.874     538.578  399.9
    7255.838     906.980  800.0
    2153.000     538.355  399.9
    2153.661     538.550  399.9
    7253.131     906.641  800.0
    7197.265     899.658  800.0
    2156.140     539.109  399.9
    2154.152     538.620  399.9
    4183.760    1047.153  399.5
   21503.212    5376.456  400.0
   21761.457    5441.050  399.9
   21821.705    5455.985  400.0
   21761.463    5441.095  399.9
   21756.322    5440.027  399.9
   36857.126    4607.141  800.0
   21811.613    5453.443  400.0
   21785.274    5447.049  399.9
   21426.755    5357.156  400.0
   36539.212    4567.401  800.0
   21753.860    5439.259  399.9
   21777.592    5445.288  399.9
   36463.362    4557.920  800.0
   21786.268    5447.442  399.9
   21799.373    5450.805  399.9
   36442.138    4555.267  800.0
   21786.813    5447.543  399.9
   36339.348    4542.419  800.0
   21750.613    5438.477  399.9
   36298.219    4537.277  800.0
   21817.748    5455.233  399.9
   36347.946    4543.493  800.0
   21821.626    5456.005  400.0
   36319.482    4539.935  800.0
   18215.329    4554.258  400.0
   36263.916    4532.990  800.0
   36642.615    4580.327  800.0
   21825.201    5456.967  400.0
   38506.970    4813.371  800.0
   21762.275    5441.269  399.9
   18139.750    4535.765  399.9
   21799.261    5450.527  399.9
   41570.006    5196.251  800.0
   21786.709    5447.289  400.0
   37908.995    4738.624  800.0
   18118.122    4530.201  399.9
   21821.420    5456.141  399.9
   36550.485    4568.811  800.0
   36510.549    4563.819  800.0
   21781.656    5446.373  399.9
   21806.413    5452.455  399.9
   36370.493    4546.312  800.0
   21758.286    5440.573  399.9
   18138.562    4535.379  399.9
   21852.064    5463.860  399.9
   36147.365    4518.421  800.0
   36241.242    4530.155  800.0
   21794.411    5449.448  399.9
   36171.405    4521.426  800.0
   21793.715    5449.263  399.9
   36263.755    4532.969  800.0
   21810.806    5458.376  399.6
   21764.943    5442.004  399.9
   36083.715    4510.464  800.0
   36125.720    4515.715  800.0
   21813.247    5454.079  399.9
   21834.672    5459.181  400.0
 1795328.076  327386.748
