Core t (s)   Wall t (s)        (%)
  3510.066      877.705      399.9
    41.784       10.574      395.1
   636.999      159.419      399.6
   665.749      166.664      399.5
  1716.741      429.265      399.9
   631.709      157.964      399.9
  1691.396      423.983      398.9
   673.428      168.573      399.5
   679.412      170.032      399.6
  1729.811      433.146      399.4
   689.654      172.500      399.8
  1692.083      423.146      399.9
  1706.849      426.796      399.9
  1706.351      426.934      399.7
   664.848      166.375      399.6
  1688.522      422.366      399.8
   639.169      159.967      399.6
  1631.887      408.056      399.9
   675.532      169.081      399.5
  1567.729      391.992      399.9
   672.041      168.189      399.6
  1615.622      403.965      399.9
   653.536      163.438      399.9
  1586.609      396.717      399.9
   672.175      168.197      399.6
  1609.706      402.491      399.9
   651.065      162.948      399.6
  1608.791      402.255      399.9
   666.178      166.707      399.6
  1607.905      402.494      399.5
   675.344      169.009      399.6
  1609.418      402.418      399.9
   667.970      167.167      399.6
  1611.270      402.877      399.9
   378.001       94.663      399.3
  3289.840      823.089      399.7
  3367.810      842.206      399.9
   696.133      174.094      399.9
   694.471      173.683      399.8
 17245.903     4313.430      399.8
   727.595      182.063      399.6
 17478.627     4376.956      399.3
   756.001      189.027      399.9
   709.125      177.497      399.5
 17282.976     4321.378      399.9
   704.002      176.180      399.6
 17234.576     4310.916      399.8
 17237.985     4310.678      399.9
 17224.312     4307.803      399.8
   737.075      184.470      399.6
 16920.454     4230.903      399.9
   738.377      184.763      399.6
 16363.877     4091.470      400.0
   739.988      185.165      399.6
 16424.102     4106.454      400.0
   733.490      183.654      399.4
 16464.025     4116.397      400.0
   736.104      184.181      399.7
 16370.112     4094.484      399.8
   706.190      176.736      399.6
 16373.021     4093.693      400.0
   721.508      180.566      399.6
 16394.134     4098.974      400.0
   688.257      172.152      399.8
 16373.378     4094.115      399.9
   720.989      180.481      399.5
 16348.553     4088.742      399.8
   740.221      185.228      399.6
 16355.436     4089.923      399.9
  3510.066      877.705      399.9
+++++++++++++++++++++++++++++++++++
330734.063    82717.329
